emp_id,dates,in_time,out_time
14,19/05/2018,00:00.0,00:00.0
14,22/05/2018,00:00.0,00:00.0
14,24/05/2018,00:00.0,00:00.0
14,26/05/2018,00:00.0,00:00.0
14,29/05/2018,00:00.0,00:00.0
14,31/05/2018,00:00.0,00:00.0
14,02/06/2018,00:00.0,00:00.0
14,05/06/2018,00:00.0,00:00.0
14,07/06/2018,00:00.0,00:00.0
14,09/06/2018,00:00.0,00:00.0
14,12/06/2018,00:00.0,00:00.0
14,14/06/2018,00:00.0,00:00.0
14,16/06/2018,00:00.0,00:00.0
14,19/06/2018,00:00.0,00:00.0
14,21/06/2018,00:00.0,00:00.0
14,23/06/2018,00:00.0,00:00.0
14,26/06/2018,00:00.0,00:00.0
14,28/06/2018,00:00.0,00:00.0
14,30/06/2018,00:00.0,00:00.0
15,01/05/2018,00:00.0,00:00.0
15,03/05/2018,00:00.0,00:00.0
15,05/05/2018,00:00.0,00:00.0
15,08/05/2018,00:00.0,00:00.0
15,10/05/2018,00:00.0,00:00.0
15,12/05/2018,00:00.0,00:00.0
15,15/05/2018,00:00.0,00:00.0
15,17/05/2018,00:00.0,00:00.0
15,19/05/2018,00:00.0,00:00.0
15,22/05/2018,00:00.0,00:00.0
15,24/05/2018,00:00.0,00:00.0
15,26/05/2018,00:00.0,00:00.0
15,29/05/2018,00:00.0,00:00.0
15,31/05/2018,00:00.0,00:00.0
15,02/06/2018,00:00.0,00:00.0
15,05/06/2018,00:00.0,00:00.0
15,07/06/2018,00:00.0,00:00.0
15,09/06/2018,00:00.0,00:00.0
15,12/06/2018,00:00.0,00:00.0
15,14/06/2018,00:00.0,00:00.0
15,16/06/2018,00:00.0,00:00.0
15,19/06/2018,00:00.0,00:00.0
15,21/06/2018,00:00.0,00:00.0
15,23/06/2018,00:00.0,00:00.0
15,26/06/2018,00:00.0,00:00.0
15,28/06/2018,00:00.0,00:00.0
15,30/06/2018,00:00.0,00:00.0
16,03/05/2018,00:00.0,00:00.0
16,06/05/2018,00:00.0,00:00.0
16,07/05/2018,00:00.0,00:00.0
16,10/05/2018,00:00.0,00:00.0
16,13/05/2018,00:00.0,00:00.0
16,14/05/2018,00:00.0,00:00.0
16,17/05/2018,00:00.0,00:00.0
16,20/05/2018,00:00.0,00:00.0
16,21/05/2018,00:00.0,00:00.0
16,24/05/2018,00:00.0,00:00.0
16,27/05/2018,00:00.0,00:00.0
16,28/05/2018,00:00.0,00:00.0
16,31/05/2018,00:00.0,00:00.0
16,03/06/2018,00:00.0,00:00.0
16,04/06/2018,00:00.0,00:00.0
16,07/06/2018,00:00.0,00:00.0
16,10/06/2018,00:00.0,00:00.0
16,11/06/2018,00:00.0,00:00.0
16,14/06/2018,00:00.0,00:00.0
16,17/06/2018,00:00.0,00:00.0
16,18/06/2018,00:00.0,00:00.0
16,21/06/2018,00:00.0,00:00.0
16,24/06/2018,00:00.0,00:00.0
16,25/06/2018,00:00.0,00:00.0
16,28/06/2018,00:00.0,00:00.0
17,03/05/2018,00:00.0,00:00.0
17,06/05/2018,00:00.0,00:00.0
17,07/05/2018,00:00.0,00:00.0
17,10/05/2018,00:00.0,00:00.0
17,13/05/2018,00:00.0,00:00.0
17,14/05/2018,00:00.0,00:00.0
17,17/05/2018,00:00.0,00:00.0
17,20/05/2018,00:00.0,00:00.0
17,21/05/2018,00:00.0,00:00.0
17,24/05/2018,00:00.0,00:00.0
17,27/05/2018,00:00.0,00:00.0
17,28/05/2018,00:00.0,00:00.0
17,31/05/2018,00:00.0,00:00.0
17,03/06/2018,00:00.0,00:00.0
17,04/06/2018,00:00.0,00:00.0
17,07/06/2018,00:00.0,00:00.0
17,10/06/2018,00:00.0,00:00.0
17,11/06/2018,00:00.0,00:00.0
17,14/06/2018,00:00.0,00:00.0
17,17/06/2018,00:00.0,00:00.0
17,18/06/2018,00:00.0,00:00.0
17,21/06/2018,00:00.0,00:00.0
17,24/06/2018,00:00.0,00:00.0
17,25/06/2018,00:00.0,00:00.0
17,28/06/2018,00:00.0,00:00.0
18,03/05/2018,00:00.0,00:00.0
18,06/05/2018,00:00.0,00:00.0
18,07/05/2018,00:00.0,00:00.0
18,10/05/2018,00:00.0,00:00.0
18,13/05/2018,00:00.0,00:00.0
18,14/05/2018,00:00.0,00:00.0
18,17/05/2018,00:00.0,00:00.0
18,20/05/2018,00:00.0,00:00.0
18,21/05/2018,00:00.0,00:00.0
18,24/05/2018,00:00.0,00:00.0
18,27/05/2018,00:00.0,00:00.0
18,28/05/2018,00:00.0,00:00.0
18,31/05/2018,00:00.0,00:00.0
18,03/06/2018,00:00.0,00:00.0
18,04/06/2018,00:00.0,00:00.0
18,07/06/2018,00:00.0,00:00.0
18,10/06/2018,00:00.0,00:00.0
18,11/06/2018,00:00.0,00:00.0
18,14/06/2018,00:00.0,00:00.0
18,17/06/2018,00:00.0,00:00.0
18,18/06/2018,00:00.0,00:00.0
18,21/06/2018,00:00.0,00:00.0
18,24/06/2018,00:00.0,00:00.0
18,25/06/2018,00:00.0,00:00.0
18,28/06/2018,00:00.0,00:00.0
19,03/05/2018,00:00.0,00:00.0
19,06/05/2018,00:00.0,00:00.0
19,07/05/2018,00:00.0,00:00.0
19,10/05/2018,00:00.0,00:00.0
19,13/05/2018,00:00.0,00:00.0
19,14/05/2018,00:00.0,00:00.0
19,17/05/2018,00:00.0,00:00.0
19,20/05/2018,00:00.0,00:00.0
19,21/05/2018,00:00.0,00:00.0
19,24/05/2018,00:00.0,00:00.0
19,27/05/2018,00:00.0,00:00.0
19,28/05/2018,00:00.0,00:00.0
19,31/05/2018,00:00.0,00:00.0
19,03/06/2018,00:00.0,00:00.0
19,04/06/2018,00:00.0,00:00.0
19,07/06/2018,00:00.0,00:00.0
19,10/06/2018,00:00.0,00:00.0
19,11/06/2018,00:00.0,00:00.0
19,14/06/2018,00:00.0,00:00.0
19,17/06/2018,00:00.0,00:00.0
19,18/06/2018,00:00.0,00:00.0
19,21/06/2018,00:00.0,00:00.0
19,24/06/2018,00:00.0,00:00.0
19,25/06/2018,00:00.0,00:00.0
19,28/06/2018,00:00.0,00:00.0
20,03/05/2018,00:00.0,00:00.0
20,06/05/2018,00:00.0,00:00.0
20,07/05/2018,00:00.0,00:00.0
20,10/05/2018,00:00.0,00:00.0
20,13/05/2018,00:00.0,00:00.0
20,14/05/2018,00:00.0,00:00.0
20,17/05/2018,00:00.0,00:00.0
20,20/05/2018,00:00.0,00:00.0
20,21/05/2018,00:00.0,00:00.0
20,24/05/2018,00:00.0,00:00.0
20,27/05/2018,00:00.0,00:00.0
20,28/05/2018,00:00.0,00:00.0
20,31/05/2018,00:00.0,00:00.0
20,03/06/2018,00:00.0,00:00.0
20,04/06/2018,00:00.0,00:00.0
20,07/06/2018,00:00.0,00:00.0
20,10/06/2018,00:00.0,00:00.0
20,11/06/2018,00:00.0,00:00.0
20,14/06/2018,00:00.0,00:00.0
20,17/06/2018,00:00.0,00:00.0
20,18/06/2018,00:00.0,00:00.0
20,21/06/2018,00:00.0,00:00.0
20,24/06/2018,00:00.0,00:00.0
20,25/06/2018,00:00.0,00:00.0
20,28/06/2018,00:00.0,00:00.0
21,03/05/2018,00:00.0,00:00.0
21,06/05/2018,00:00.0,00:00.0
21,07/05/2018,00:00.0,00:00.0
21,10/05/2018,00:00.0,00:00.0
21,13/05/2018,00:00.0,00:00.0
21,14/05/2018,00:00.0,00:00.0
21,17/05/2018,00:00.0,00:00.0
21,20/05/2018,00:00.0,00:00.0
21,21/05/2018,00:00.0,00:00.0
21,24/05/2018,00:00.0,00:00.0
21,27/05/2018,00:00.0,00:00.0
21,28/05/2018,00:00.0,00:00.0
21,31/05/2018,00:00.0,00:00.0
21,03/06/2018,00:00.0,00:00.0
21,04/06/2018,00:00.0,00:00.0
21,07/06/2018,00:00.0,00:00.0
21,10/06/2018,00:00.0,00:00.0
21,11/06/2018,00:00.0,00:00.0
21,14/06/2018,00:00.0,00:00.0
21,17/06/2018,00:00.0,00:00.0
21,18/06/2018,00:00.0,00:00.0
21,21/06/2018,00:00.0,00:00.0
21,24/06/2018,00:00.0,00:00.0
21,25/06/2018,00:00.0,00:00.0
21,28/06/2018,00:00.0,00:00.0
22,03/05/2018,00:00.0,00:00.0
22,06/05/2018,00:00.0,00:00.0
22,07/05/2018,00:00.0,00:00.0
22,10/05/2018,00:00.0,00:00.0
22,13/05/2018,00:00.0,00:00.0
22,14/05/2018,00:00.0,00:00.0
22,17/05/2018,00:00.0,00:00.0
22,20/05/2018,00:00.0,00:00.0
22,21/05/2018,00:00.0,00:00.0
22,24/05/2018,00:00.0,00:00.0
22,27/05/2018,00:00.0,00:00.0
22,28/05/2018,00:00.0,00:00.0
22,31/05/2018,00:00.0,00:00.0
22,03/06/2018,00:00.0,00:00.0
22,04/06/2018,00:00.0,00:00.0
22,07/06/2018,00:00.0,00:00.0
22,10/06/2018,00:00.0,00:00.0
22,11/06/2018,00:00.0,00:00.0
22,14/06/2018,00:00.0,00:00.0
22,17/06/2018,00:00.0,00:00.0
22,18/06/2018,00:00.0,00:00.0
22,21/06/2018,00:00.0,00:00.0
22,24/06/2018,00:00.0,00:00.0
22,25/06/2018,00:00.0,00:00.0
22,28/06/2018,00:00.0,00:00.0
23,03/05/2018,00:00.0,00:00.0
23,06/05/2018,00:00.0,00:00.0
23,07/05/2018,00:00.0,00:00.0
23,10/05/2018,00:00.0,00:00.0
23,13/05/2018,00:00.0,00:00.0
23,14/05/2018,00:00.0,00:00.0
23,17/05/2018,00:00.0,00:00.0
23,20/05/2018,00:00.0,00:00.0
23,21/05/2018,00:00.0,00:00.0
23,24/05/2018,00:00.0,00:00.0
23,27/05/2018,00:00.0,00:00.0
23,28/05/2018,00:00.0,00:00.0
23,31/05/2018,00:00.0,00:00.0
23,03/06/2018,00:00.0,00:00.0
23,04/06/2018,00:00.0,00:00.0
23,07/06/2018,00:00.0,00:00.0
23,10/06/2018,00:00.0,00:00.0
23,11/06/2018,00:00.0,00:00.0
23,14/06/2018,00:00.0,00:00.0
23,17/06/2018,00:00.0,00:00.0
23,18/06/2018,00:00.0,00:00.0
23,21/06/2018,00:00.0,00:00.0
23,24/06/2018,00:00.0,00:00.0
23,25/06/2018,00:00.0,00:00.0
23,28/06/2018,00:00.0,00:00.0
24,01/05/2018,00:00.0,00:00.0
24,04/05/2018,00:00.0,00:00.0
24,07/05/2018,00:00.0,00:00.0
24,08/05/2018,00:00.0,00:00.0
24,11/05/2018,00:00.0,00:00.0
24,14/05/2018,00:00.0,00:00.0
24,15/05/2018,00:00.0,00:00.0
24,18/05/2018,00:00.0,00:00.0
24,21/05/2018,00:00.0,00:00.0
24,22/05/2018,00:00.0,00:00.0
24,25/05/2018,00:00.0,00:00.0
24,28/05/2018,00:00.0,00:00.0
24,29/05/2018,00:00.0,00:00.0
24,01/06/2018,00:00.0,00:00.0
24,04/06/2018,00:00.0,00:00.0
24,05/06/2018,00:00.0,00:00.0
24,08/06/2018,00:00.0,00:00.0
24,11/06/2018,00:00.0,00:00.0
24,12/06/2018,00:00.0,00:00.0
24,15/06/2018,00:00.0,00:00.0
24,18/06/2018,00:00.0,00:00.0
24,19/06/2018,00:00.0,00:00.0
24,22/06/2018,00:00.0,00:00.0
24,25/06/2018,00:00.0,00:00.0
24,26/06/2018,00:00.0,00:00.0
24,29/06/2018,00:00.0,00:00.0
25,01/05/2018,00:00.0,00:00.0
25,04/05/2018,00:00.0,00:00.0
25,07/05/2018,00:00.0,00:00.0
25,08/05/2018,00:00.0,00:00.0
25,11/05/2018,00:00.0,00:00.0
25,14/05/2018,00:00.0,00:00.0
25,15/05/2018,00:00.0,00:00.0
25,18/05/2018,00:00.0,00:00.0
25,21/05/2018,00:00.0,00:00.0
25,22/05/2018,00:00.0,00:00.0
25,25/05/2018,00:00.0,00:00.0
25,28/05/2018,00:00.0,00:00.0
25,29/05/2018,00:00.0,00:00.0
25,01/06/2018,00:00.0,00:00.0
25,04/06/2018,00:00.0,00:00.0
25,05/06/2018,00:00.0,00:00.0
25,08/06/2018,00:00.0,00:00.0
25,11/06/2018,00:00.0,00:00.0
25,12/06/2018,00:00.0,00:00.0
25,15/06/2018,00:00.0,00:00.0
25,18/06/2018,00:00.0,00:00.0
25,19/06/2018,00:00.0,00:00.0
25,22/06/2018,00:00.0,00:00.0
25,25/06/2018,00:00.0,00:00.0
25,26/06/2018,00:00.0,00:00.0
25,29/06/2018,00:00.0,00:00.0
26,01/05/2018,00:00.0,00:00.0
26,04/05/2018,00:00.0,00:00.0
26,07/05/2018,00:00.0,00:00.0
26,08/05/2018,00:00.0,00:00.0
26,11/05/2018,00:00.0,00:00.0
26,14/05/2018,00:00.0,00:00.0
26,15/05/2018,00:00.0,00:00.0
26,18/05/2018,00:00.0,00:00.0
26,21/05/2018,00:00.0,00:00.0
26,22/05/2018,00:00.0,00:00.0
26,25/05/2018,00:00.0,00:00.0
26,28/05/2018,00:00.0,00:00.0
26,29/05/2018,00:00.0,00:00.0
26,01/06/2018,00:00.0,00:00.0
26,04/06/2018,00:00.0,00:00.0
26,05/06/2018,00:00.0,00:00.0
26,08/06/2018,00:00.0,00:00.0
26,11/06/2018,00:00.0,00:00.0
26,12/06/2018,00:00.0,00:00.0
26,15/06/2018,00:00.0,00:00.0
26,18/06/2018,00:00.0,00:00.0
